English word,French word,Frequency
abide, respecter , 35
about, sur , 358
above, au dessus , 123
abroad, à l'étranger , 59
absence, absence , 55
abuse, abuser de , 43
according, selon , 24
account, Compte , 43
accuse, accuser , 34
acquainted, connaissance , 37
action, action , 109
advantage, avantage , 70
advice, Conseil , 43
affairs, affaires , 65
affection, affection , 67
affections, affections , 40
afraid, peur , 40
after, après , 323
afterwards, ensuite , 38
again, encore , 745
alive, vivant , 85
almost, presque , 139
alone, seul , 229
along, le long de , 108
already, déjà , 136
although, bien que , 37
always, toujours , 58
ambition, ambition , 42
ancient, ancien , 71
angel, ange , 51
anger, colère , 53
another, un autre , 344
answer, répondre , 356
anything, n'importe quoi , 99
apparel, vêtements , 39
appear, apparaître , 114
appears, apparaît , 48
approach, approche , 59
argument, argument , 66
ariel, Ariel , 0
armour, armure , 41
aside, de côté , 84
asleep, endormi , 58
assure, assurer , 46
athens, Athènes , 0
attend, assister , 100
attended, assisté , 41
authority, autorité , 51
avoid, éviter , 34
awake, éveillé , 60
awhile, quelque temps , 99
banish, bannir , 30
barren, Dénudé , 37
bassianus, bassianus , 0
bastard, Connard , 65
battle, bataille , 111
beard, barbe , 90
bearing, palier , 60
bears, ours , 101
beast, la bête , 69
beaten, battu , 44
beauty, beauté , 192
because, car , 81
become, devenir , 129
bedford, Bedford , 0
before, avant , 622
beggar, mendiant , 56
begin, commencer , 101
behalf, nom , 44
behind, derrière , 110
behold, voir , 112
being, étant , 544
believe, croyez , 180
belike, être comme , 22
below, au dessous de , 52
benefit, avantage , 39
besides, outre , 48
betray, trahir , 36
better, mieux , 561
between, entre , 189
beyond, au-delà , 42
birth, naissance , 83
bishop, évêque , 3
bitter, amer , 73
black, noir , 143
blame, faire des reproches , 81
bless, bénir , 84
blessing, bénédiction , 40
blest, heureux , 49
blind, aveugle , 77
blood, du sang , 624
blows, coups , 67
blunt, cru , 27
blush, rougir , 47
bodies, corps , 43
bones, des os , 75
borne, supporté , 74
bottom, bas , 35
bought, acheté , 50
bound, lié , 165
bounty, prime , 39
brain, cerveau , 79
brains, cerveaux , 45
brave, courageux , 146
breast, Sein , 94
breath, souffle , 204
breed, race , 45
